RSCID,Discord ID,Name,Franchise,Team,Tier,SBV,GP
RSC002576,498674254213283850,L-Dunk-,The Serpents,Cobras,Veteran,95.05,4
RSC005593,995003582220861520,Tachiino,Italian Battalion,Linguini Lancers,Veteran,91.16,64
RSC004904,118907854777352200,Capricious,Puppy Paradise,Dobermans,Veteran,90.05,10
RSC005602,187663522149171200,Ezjuri,,,Veteran,89.46,14
RSC005066,178270055233093632,Pops Ryan,The Swarm,Yellow Jackets,Veteran,86.69,63
RSC003895,627155057057464330,Gga Astro,The Elements,Water,Veteran,84.39,23
RSC003073,586450386714492928,Perkls,Dungeons And Double Taps,Fighters,Veteran,83.27,27
RSC005795,336189052439232523,Riptide,,,Veteran,81.06,4
RSC005296,287744041221619722,Moose,Pantheon,Quetzalcoatl,Veteran,80.95,60
RSC005684,755526187115086056,Vy,Eight Legged Freaks,Banana Spiders,Veteran,80.74,64
RSC005311,624338638062354455,Venom,Storm,Typhoons,Veteran,80.28,64
RSC003928,501048175692480522,Trevey.,The Nexus,Cepheus,Veteran,79.83,43
RSC005231,320408672813580290,Ryan,Shark Attack,Makos,Veteran,78.70,63
RSC000438,249326300148269058,Limon,Minty Fresh,Peppermint,Veteran,77.35,51
RSC005345,716766352647520346,Roman.,The Jungle,Gorillas,Veteran,75.12,64
RSC005746,500498603132059649,Stealthy_Kid207_,,,Veteran,73.63,4
RSC000254,192173252116742145,Keikotheweeb ,Electric Mayhem,Lightning,Veteran,72.31,39
RSC000579,294451751971454977,Crypt_Rl,Dungeons And Double Taps,Fighters,Veteran,70.05,56
RSC004290,497467599463120907,Megu,The Forest,Werewolves,Veteran,68.61,59
RSC002812,651275529478995978,Gtg Sugar,The Sovereign,Gladiators,Veteran,67.71,61
RSC005009,914192111765688320,Qeetz,Puppy Paradise,Dobermans,Veteran,65.99,41
RSC005290,690735064119509023,Imoldgreg67,Destined,Possessed,Veteran,65.50,54
RSC005508,326568135408746496,Lil Windex,The Garden,Peppers,Veteran,64.66,56
RSC004131,278385369756598272,Poptart Pounder,The Bakery,Rollin Cannolis,Veteran,64.04,63
RSC004630,458304259910533132,Supe,The Sovereign,Gladiators,Veteran,63.45,30
RSC004147,313516747267506177,Atlasxv,Storm,Typhoons,Veteran,63.39,56
RSC004843,205839160999673857,Beastmod1015,The Gods,Hades,Veteran,62.59,54
RSC005065,634553571941023754,Acp.,Shark Attack,Makos,Veteran,62.54,43
RSC000886,453231588017438732,Glizzygod,Storm,,Veteran,62.45,4
RSC002423,348509607926169620,Cubby,Energy,Thermal,Veteran,62.35,57
